family,tuning,variant,framing,rubric,n,box_rate,empty_box_only,never_boxed,abstain_unsure,abstain_marker,silent_no_box,silent_no_box_long,indeterminate,mixed,correct,incorrect,ungraded,abst_lenient,abst_rate_lenient,abst_strict,abst_rate_strict,sel_acc_lenient,sel_acc_strict,stem
Gemma-4-31B,base,conseq_no_abstain,QP4,,100,100.0,0,0,13,0,0,0,0,0,11,76,0,13,13.0,13,13.0,12.64367816091954,12.64367816091954,gemma-4-31b-QP4_basemodel_fs-conseq_no_abstain
Gemma-4-31B,base,conseq_no_abstain,QP7,,100,98.0,1,1,11,0,2,0,0,0,10,77,0,13,13.0,11,11.0,11.494252873563218,11.235955056179776,gemma-4-31b-QP7_basemodel_fs-conseq_no_abstain
Gemma-4-31B,base,conseq_no_abstain,r_0,"(1,0,0)",100,100.0,0,0,18,0,0,0,0,0,11,71,0,18,18.0,18,18.0,13.414634146341463,13.414634146341463,gemma-4-31b-quantitative_grading_basemodel_fs-conseq_no_abstain_r1_0_0
Gemma-4-31B,base,conseq_no_abstain,r_0.1,"(10,-1,0)",100,100.0,0,0,14,0,0,0,0,0,14,72,0,14,14.0,14,14.0,16.27906976744186,16.27906976744186,gemma-4-31b-quantitative_grading_basemodel_fs-conseq_no_abstain_r10_-1_0
Gemma-4-31B,base,conseq_no_abstain,r_0.5,"(10,-5,0)",100,100.0,0,0,16,0,0,0,0,0,12,72,0,16,16.0,16,16.0,14.285714285714286,14.285714285714286,gemma-4-31b-quantitative_grading_basemodel_fs-conseq_no_abstain_r10_-5_0
Gemma-4-31B,base,conseq_no_abstain,r_1,"(1,-1,0)",100,100.0,0,0,10,0,0,0,0,0,13,77,0,10,10.0,10,10.0,14.444444444444445,14.444444444444445,gemma-4-31b-quantitative_grading_basemodel_fs-conseq_no_abstain_r1_-1_0
Gemma-4-31B,base,conseq_no_abstain,r_10,"(1,-10,0)",100,99.0,0,1,15,0,1,0,0,0,12,72,0,16,16.0,15,15.0,14.285714285714286,14.117647058823529,gemma-4-31b-quantitative_grading_basemodel_fs-conseq_no_abstain_r1_-10_0
Gemma-4-31B,base,conseq_no_abstain,r_abstain,"(-1,-10,10)",100,100.0,0,0,13,0,0,0,0,0,11,76,0,13,13.0,13,13.0,12.64367816091954,12.64367816091954,gemma-4-31b-quantitative_grading_basemodel_fs-conseq_no_abstain_r-1_-10_10
Gemma-4-31B,base,conseq_random_abstain,ultra_cautious,,100,99.0,0,1,57,0,1,1,0,1,6,36,0,58,58.0,57,57.0,14.285714285714286,13.953488372093023,gemma-4-31b-ultra_cautious_basemodel_fs-conseq_random_abstain
Gemma-4-31B,base,conseq_random_abstain,QP4,,100,100.0,0,0,54,0,0,0,0,0,7,39,0,54,54.0,54,54.0,15.217391304347826,15.217391304347826,gemma-4-31b-QP4_basemodel_fs-conseq_random_abstain
Gemma-4-31B,base,conseq_random_abstain,QP7,,100,100.0,0,0,52,0,0,0,0,0,5,43,0,52,52.0,52,52.0,10.416666666666666,10.416666666666666,gemma-4-31b-QP7_basemodel_fs-conseq_random_abstain
Gemma-4-31B,base,conseq_random_abstain,r_0,"(1,0,0)",100,99.0,0,1,45,0,1,0,0,0,7,47,0,46,46.0,45,45.0,12.962962962962964,12.727272727272727,gemma-4-31b-quantitative_grading_basemodel_fs-conseq_random_abstain_r1_0_0
Gemma-4-31B,base,conseq_random_abstain,r_0.1,"(10,-1,0)",100,99.0,1,0,57,0,1,0,0,0,7,35,0,58,58.0,57,57.0,16.666666666666668,16.27906976744186,gemma-4-31b-quantitative_grading_basemodel_fs-conseq_random_abstain_r10_-1_0
Gemma-4-31B,base,conseq_random_abstain,r_0.5,"(10,-5,0)",100,100.0,0,0,44,0,0,0,0,0,10,46,0,44,44.0,44,44.0,17.857142857142858,17.857142857142858,gemma-4-31b-quantitative_grading_basemodel_fs-conseq_random_abstain_r10_-5_0
Gemma-4-31B,base,conseq_random_abstain,r_1,"(1,-1,0)",100,100.0,0,0,48,0,0,0,0,0,3,49,0,48,48.0,48,48.0,5.769230769230769,5.769230769230769,gemma-4-31b-quantitative_grading_basemodel_fs-conseq_random_abstain_r1_-1_0
Gemma-4-31B,base,conseq_random_abstain,r_10,"(1,-10,0)",100,100.0,0,0,46,0,0,0,0,0,6,48,0,46,46.0,46,46.0,11.11111111111111,11.11111111111111,gemma-4-31b-quantitative_grading_basemodel_fs-conseq_random_abstain_r1_-10_0
Gemma-4-31B,base,conseq_random_abstain,r_abstain,"(-1,-10,10)",100,99.0,0,1,48,0,1,0,0,1,6,45,0,49,49.0,48,48.0,11.764705882352942,11.538461538461538,gemma-4-31b-quantitative_grading_basemodel_fs-conseq_random_abstain_r-1_-10_10
Gemma-4-31B,base,conseq_correct_abstain,ultra_cautious,,100,100.0,0,0,54,0,0,0,0,1,5,41,0,54,54.0,54,54.0,10.869565217391305,10.869565217391305,gemma-4-31b-ultra_cautious_basemodel_fs-conseq_correct_abstain
